userid,gender,no_of_days,no_os_calls,enrolled
5908,Male,21,2,Yes
5909,Female,16,4,No
5910,Male,25,4,No
5911,Female,6,1,No
5912,Male,22,7,No
5913,Male,27,7,No
5914,Male,16,1,No
5915,Male,20,8,No
5916,Female,29,7,No
5917,Male,16,7,Yes
5918,Female,12,6,Yes
5919,Male,17,4,Yes
5920,Male,5,8,Yes
5921,Male,27,2,No
5922,Male,25,7,Yes
5923,Female,13,3,Yes
5924,Female,8,3,No
5925,Female,24,7,Yes
5926,Female,5,3,No
5927,Male,12,5,Yes
5928,Female,9,8,Yes
5929,Female,3,4,No
5930,Male,3,7,No
5931,Male,1,7,Yes
5932,Male,25,2,Yes
5933,Male,22,8,Yes
5934,Female,18,9,No
5935,Female,24,6,No
5936,Male,12,5,No
5937,Male,9,1,No
5938,Male,9,1,No
5939,Female,18,9,No
5940,Female,18,4,Yes
5941,Male,29,1,No
5942,Male,7,3,No
5943,Female,27,6,Yes
5944,Male,4,8,Yes
5945,Male,13,2,No
5946,Female,17,8,No
5947,Male,24,1,No
5948,Female,2,2,No
5949,Male,14,8,Yes
5950,Male,3,7,Yes
5951,Female,5,5,Yes
5952,Female,14,2,No
5953,Male,3,9,Yes
5954,Female,23,5,No
5955,Male,7,8,Yes
5956,Male,30,4,No
5957,Female,18,9,No
5958,Male,13,7,Yes
5959,Male,29,2,Yes
5960,Female,23,3,No
5961,Female,27,2,Yes
5962,Male,22,5,No
5963,Female,10,2,No
5964,Female,25,5,Yes
5965,Female,13,9,Yes
5966,Female,16,2,No
5967,Male,9,9,No
5968,Male,2,7,No
5969,Male,23,7,No
5970,Female,5,5,No
5971,Female,29,8,No
5972,Female,22,7,Yes
5973,Female,17,6,Yes
5974,Female,23,2,Yes
5975,Female,22,6,No
5976,Female,4,2,No
5977,Male,17,1,Yes
5978,Male,9,9,Yes
5979,Female,20,5,Yes
5980,Female,2,4,No
5981,Female,24,8,No
5982,Male,18,5,No
5983,Male,21,7,Yes
5984,Female,27,3,Yes
5985,Female,22,8,Yes
5986,Male,11,8,No
5987,Male,13,3,Yes
5988,Male,8,9,Yes
5989,Male,27,8,No
5990,Female,1,1,No
5991,Male,17,8,Yes
5992,Male,12,4,No
5993,Female,4,6,Yes
5994,Male,21,9,No
5995,Male,13,5,No
5996,Male,29,7,No
5997,Female,9,1,No
5998,Male,27,9,No
5999,Female,30,6,No
6000,Female,7,4,Yes
6001,Male,23,6,Yes
6002,Male,24,5,Yes
6003,Male,5,3,No
6004,Male,5,7,No
6005,Female,17,3,Yes
6006,Male,30,2,Yes
6007,Male,9,4,Yes
6008,Male,6,7,No
6009,Female,25,5,Yes
6010,Male,19,9,Yes
6011,Male,16,7,Yes
6012,Female,21,9,Yes
6013,Female,2,9,No
6014,Male,10,2,Yes
6015,Male,16,1,Yes
6016,Male,5,4,No
6017,Male,15,4,No
6018,Male,13,2,No
6019,Female,13,3,No
6020,Female,13,3,No
6021,Male,15,5,Yes
6022,Male,14,1,Yes
6023,Female,8,9,Yes
6024,Male,11,8,No
6025,Male,18,8,Yes
6026,Male,24,3,No
6027,Male,4,2,No
6028,Male,26,1,Yes
6029,Female,10,6,No
6030,Male,1,1,Yes
6031,Male,29,5,No
6032,Male,5,9,Yes
6033,Female,13,9,No
6034,Female,1,4,No
6035,Female,23,7,No
6036,Female,8,7,Yes
6037,Male,3,4,No
6038,Female,3,5,Yes
6039,Male,7,9,No
6040,Male,4,7,Yes
6041,Female,3,7,No
6042,Female,15,7,Yes
6043,Female,8,9,No
6044,Female,3,5,No
6045,Female,29,6,No
6046,Male,30,3,Yes
6047,Female,7,1,No
6048,Female,18,2,No
6049,Female,11,8,No
6050,Male,11,1,Yes
6051,Female,17,7,No
6052,Male,28,5,Yes
6053,Female,6,6,Yes
6054,Female,8,8,No
6055,Male,1,4,No
6056,Female,29,6,Yes
6057,Male,10,3,Yes
6058,Male,28,7,No
6059,Male,25,2,Yes
6060,Female,19,8,Yes
6061,Female,3,7,No
6062,Female,4,8,No
6063,Male,11,2,Yes
6064,Female,15,3,Yes
6065,Male,1,4,No
6066,Female,9,9,Yes
6067,Male,11,5,Yes
6068,Male,19,6,No
6069,Male,13,1,Yes
6070,Female,26,4,Yes
6071,Male,16,4,Yes
6072,Male,4,8,Yes
6073,Male,1,8,No
6074,Male,20,6,Yes
6075,Male,13,8,Yes
6076,Male,1,9,No
6077,Female,5,5,Yes
6078,Female,5,1,Yes
6079,Male,14,1,No
6080,Female,27,2,Yes
6081,Female,23,2,Yes
6082,Male,14,5,Yes
6083,Male,8,7,Yes
6084,Male,4,7,Yes
6085,Female,7,4,Yes
6086,Male,20,4,Yes
6087,Female,19,3,No
6088,Male,15,2,No
6089,Female,22,3,No
6090,Male,4,8,Yes
6091,Male,30,1,No
6092,Female,19,4,No
6093,Female,9,7,No
6094,Female,21,5,No
6095,Female,13,2,Yes
6096,Female,14,1,Yes
6097,Female,23,6,Yes
6098,Male,28,5,No
6099,Female,14,3,Yes
6100,Male,22,9,No
6101,Male,10,3,Yes
6102,Female,16,2,Yes
6103,Male,5,5,No
6104,Female,23,9,No
6105,Female,27,8,Yes
6106,Male,6,6,Yes
6107,Male,26,3,Yes
6108,Female,2,6,No
6109,Female,13,5,No
6110,Male,29,1,No
6111,Male,13,5,No
6112,Male,19,7,Yes
6113,Male,18,9,No
6114,Female,28,1,No
6115,Female,19,3,No
6116,Female,1,8,Yes
6117,Female,8,6,Yes
6118,Male,22,5,No
6119,Male,16,2,No
6120,Female,29,3,Yes
6121,Female,2,2,Yes
6122,Female,8,1,No
6123,Female,6,7,Yes
6124,Female,16,3,No
6125,Female,23,7,Yes
6126,Female,11,7,No
6127,Female,17,8,No
6128,Female,23,1,No
6129,Male,19,5,No
6130,Female,11,9,Yes
6131,Male,28,7,Yes
6132,Male,8,1,No
6133,Female,22,8,Yes
6134,Female,4,3,No
6135,Male,11,4,Yes
6136,Male,8,4,No
6137,Female,9,8,Yes
6138,Male,26,1,Yes
6139,Female,2,8,Yes
6140,Female,16,9,Yes
6141,Female,6,9,No
6142,Male,21,5,No
6143,Male,21,4,Yes
6144,Female,26,4,Yes
6145,Male,27,9,Yes
6146,Male,19,8,Yes
6147,Male,28,7,No
6148,Male,8,3,Yes
6149,Male,14,4,Yes
6150,Male,24,9,Yes
6151,Male,16,8,Yes
6152,Female,12,1,Yes
6153,Male,5,3,Yes
6154,Male,24,2,Yes
6155,Male,26,2,Yes
6156,Male,24,8,No
6157,Male,19,6,Yes
6158,Male,18,6,Yes
6159,Male,9,4,Yes
6160,Male,2,1,Yes
6161,Female,25,7,No
6162,Male,20,8,Yes
6163,Male,12,2,No
6164,Male,29,2,No
6165,Male,2,1,No
6166,Female,10,4,No
6167,Female,1,6,Yes
6168,Female,4,5,No
6169,Female,25,4,No
6170,Female,12,4,Yes
6171,Female,9,7,No
6172,Female,4,7,No
6173,Female,9,2,No
6174,Female,28,7,No
6175,Female,6,2,Yes
6176,Female,1,4,No
6177,Female,10,1,Yes
6178,Female,29,5,Yes
6179,Female,14,1,Yes
6180,Female,22,4,No
6181,Female,25,9,No
6182,Male,29,8,Yes
6183,Female,18,6,Yes
6184,Male,6,8,Yes
6185,Female,18,5,Yes
6186,Female,20,7,Yes
6187,Male,16,8,Yes
6188,Female,15,7,No
6189,Male,16,4,No
6190,Male,8,5,No
6191,Male,13,6,Yes
6192,Female,23,6,No
6193,Female,11,9,Yes
6194,Female,28,2,Yes
6195,Male,29,6,No
6196,Male,25,3,Yes
6197,Female,7,2,No
6198,Female,17,6,No
6199,Female,18,4,No
6200,Female,22,5,Yes
6201,Female,23,5,Yes
6202,Male,19,3,Yes
6203,Male,25,4,No
6204,Male,13,3,Yes
6205,Female,15,7,No
6206,Male,23,1,Yes
6207,Male,30,6,No
6208,Male,22,4,No
6209,Male,29,1,Yes
6210,Male,22,1,Yes
6211,Female,1,5,No
6212,Male,29,5,No
6213,Female,16,7,Yes
6214,Female,5,4,No
6215,Female,26,9,Yes
6216,Female,3,4,Yes
6217,Female,23,7,No
6218,Male,10,5,Yes
6219,Male,19,5,No
6220,Female,5,6,Yes
6221,Female,7,8,No
6222,Female,14,5,Yes
6223,Male,3,3,Yes
6224,Female,13,6,No
6225,Male,13,2,Yes
6226,Female,10,8,No
6227,Male,2,8,No
6228,Female,6,3,No
6229,Male,8,8,No
6230,Female,4,9,No
6231,Male,25,5,Yes
6232,Male,12,5,Yes
6233,Male,28,6,Yes
6234,Male,15,7,Yes
6235,Male,8,3,Yes
6236,Male,7,5,Yes
6237,Male,14,1,Yes
6238,Female,23,5,No
6239,Female,19,4,No
6240,Female,14,1,No
6241,Female,22,7,Yes
6242,Female,13,1,No
6243,Male,29,8,Yes
6244,Male,21,2,Yes
6245,Male,1,5,Yes
6246,Male,27,6,No
6247,Male,19,9,No
6248,Female,29,7,No
6249,Female,28,6,Yes
6250,Female,1,5,Yes
6251,Female,4,6,Yes
6252,Male,10,4,Yes
6253,Male,3,1,No
6254,Male,27,9,No
6255,Female,20,5,No
6256,Male,9,8,No
6257,Female,3,7,Yes
6258,Male,28,8,Yes
6259,Male,6,1,No
6260,Female,6,9,Yes
6261,Male,23,1,Yes
6262,Male,25,3,No
6263,Female,12,8,No
6264,Male,23,1,Yes
6265,Female,30,1,No
6266,Male,1,6,No
6267,Male,16,5,No
6268,Male,24,6,No
6269,Male,5,3,No
6270,Male,9,6,No
6271,Male,10,2,No
6272,Male,13,8,No
6273,Male,15,6,No
6274,Female,12,4,Yes
6275,Female,5,4,No
6276,Male,5,7,No
6277,Male,28,3,No
6278,Female,28,3,Yes
6279,Male,30,6,No
6280,Male,18,9,No
6281,Female,12,1,Yes
6282,Male,27,5,Yes
6283,Male,3,1,No
6284,Female,26,1,Yes
6285,Male,25,3,Yes
6286,Male,7,3,Yes
6287,Female,17,4,Yes
6288,Male,19,3,Yes
6289,Female,28,6,No
6290,Male,18,4,Yes
6291,Male,1,8,No
6292,Female,25,1,No
6293,Female,24,8,No
6294,Male,5,1,Yes
6295,Female,27,1,No
6296,Female,28,7,Yes
6297,Male,2,1,No
6298,Male,1,9,No
6299,Male,7,8,No
6300,Female,29,1,Yes
6301,Female,11,2,No
6302,Female,11,2,Yes
6303,Female,18,2,Yes
6304,Male,17,6,Yes
6305,Female,2,4,No
6306,Male,7,8,No
6307,Female,7,1,No
6308,Male,10,4,No
6309,Male,22,5,Yes
6310,Male,21,9,No
6311,Female,3,5,Yes
6312,Male,30,3,Yes
6313,Male,12,4,No
6314,Female,3,7,No
6315,Male,11,1,Yes
6316,Female,29,6,Yes
6317,Female,12,8,No
6318,Male,25,1,No
6319,Male,4,8,No
6320,Female,25,7,Yes
6321,Male,16,1,Yes
6322,Female,20,9,No
6323,Female,18,3,Yes
6324,Female,4,2,Yes
6325,Male,22,7,Yes
6326,Female,6,3,Yes
6327,Male,21,1,No
6328,Male,15,3,Yes
6329,Male,1,6,No
6330,Male,3,3,No
6331,Female,5,5,Yes
6332,Male,22,9,No
6333,Female,30,7,No
6334,Female,17,2,No
6335,Male,30,1,Yes
6336,Female,14,7,No
6337,Female,9,4,Yes
6338,Male,30,7,No
6339,Female,3,6,No
6340,Female,26,7,No
6341,Female,13,4,No
6342,Female,3,3,Yes
6343,Male,11,5,No
6344,Female,2,3,No
6345,Female,24,3,No
6346,Female,15,4,Yes
6347,Female,13,8,Yes
6348,Male,19,2,No
6349,Female,22,4,No
6350,Male,16,3,No
6351,Female,18,7,No
6352,Male,7,2,Yes
6353,Male,13,1,Yes
6354,Male,4,1,Yes
6355,Male,9,6,No
6356,Male,30,3,No
6357,Female,10,7,No
6358,Female,9,8,No
6359,Female,7,5,Yes
6360,Male,15,5,Yes
6361,Female,28,2,Yes
6362,Male,8,8,No
6363,Male,19,1,No
6364,Female,11,9,No
6365,Female,5,1,No
6366,Male,2,1,No
6367,Male,10,1,Yes
6368,Female,16,7,No
6369,Female,23,4,No
6370,Female,13,7,Yes
6371,Female,8,5,Yes
6372,Male,9,7,No
6373,Female,11,7,Yes
6374,Female,11,4,No
6375,Female,23,2,No
6376,Male,26,8,Yes
6377,Male,16,2,No
6378,Male,10,9,No
6379,Male,29,5,No
6380,Female,24,9,Yes
6381,Male,12,9,Yes
6382,Female,25,8,Yes
6383,Female,6,8,Yes
6384,Female,28,4,No
6385,Female,12,4,Yes
6386,Male,10,2,No
6387,Male,18,4,Yes
6388,Male,18,4,Yes
6389,Female,4,6,No
6390,Female,9,3,Yes
6391,Female,7,2,Yes
6392,Female,18,8,No
6393,Female,8,2,Yes
6394,Male,11,8,No
6395,Female,7,7,Yes
6396,Male,9,3,No
6397,Female,8,6,Yes
6398,Female,3,6,No
6399,Male,17,5,Yes
6400,Male,2,8,No
6401,Female,15,5,Yes
6402,Female,14,7,Yes
6403,Female,29,6,Yes
6404,Female,18,7,No
6405,Male,16,9,No
6406,Female,20,3,Yes
6407,Male,22,7,Yes
6408,Female,4,3,Yes
6409,Male,25,2,Yes
6410,Male,20,7,Yes
6411,Female,6,4,Yes
6412,Male,6,1,Yes
6413,Female,26,6,Yes
6414,Male,11,6,Yes
6415,Female,26,6,Yes
6416,Male,17,2,No
6417,Female,24,1,No
6418,Female,28,3,Yes
6419,Male,3,2,Yes
6420,Male,13,6,Yes
6421,Male,22,6,No
6422,Male,3,5,No
6423,Female,16,5,Yes
6424,Male,15,9,Yes
6425,Female,11,5,Yes
6426,Male,18,6,No
6427,Female,15,4,No
6428,Female,5,1,No
6429,Female,16,4,No
6430,Female,30,2,Yes
6431,Male,16,3,Yes
6432,Male,17,7,Yes
6433,Female,9,7,Yes
6434,Male,27,1,Yes
6435,Male,23,8,No
6436,Female,3,7,Yes
6437,Male,20,1,Yes
6438,Male,13,8,No
6439,Male,22,2,Yes
6440,Female,3,8,Yes
6441,Male,28,3,Yes
6442,Female,7,7,No
6443,Male,29,6,Yes
6444,Male,6,5,No
6445,Male,9,2,No
6446,Female,12,2,No
6447,Female,15,1,No
6448,Male,21,9,Yes
6449,Female,20,8,No
6450,Male,3,8,Yes
6451,Female,10,1,No
6452,Female,1,5,Yes
6453,Male,19,6,Yes
6454,Male,19,2,Yes
6455,Male,23,5,Yes
6456,Male,23,6,Yes
6457,Female,13,9,Yes
6458,Female,12,1,Yes
6459,Female,1,3,Yes
6460,Male,19,9,Yes
6461,Male,29,1,Yes
6462,Female,24,1,No
6463,Male,16,1,Yes
6464,Female,25,7,Yes
6465,Female,23,5,Yes
6466,Female,23,6,No
6467,Female,28,8,No
6468,Female,15,2,Yes
6469,Male,16,2,Yes
6470,Male,11,3,No
6471,Male,24,3,Yes
6472,Female,6,3,Yes
6473,Female,11,4,No
6474,Female,3,3,No
6475,Female,15,2,Yes
6476,Male,1,9,Yes
6477,Male,7,6,Yes
6478,Female,1,3,No
6479,Female,17,9,Yes
6480,Female,9,4,Yes
6481,Male,29,4,No
6482,Male,26,8,Yes
6483,Male,23,7,Yes
6484,Female,13,7,Yes
6485,Female,11,7,Yes
6486,Male,29,5,No
6487,Female,20,7,No
6488,Male,6,4,No
6489,Female,1,8,Yes
6490,Male,7,9,Yes
6491,Female,12,3,Yes
6492,Male,22,7,Yes
6493,Male,20,9,No
6494,Male,23,1,Yes
6495,Male,19,2,Yes
6496,Male,17,7,Yes
6497,Male,4,2,No
6498,Female,3,7,Yes
6499,Female,1,1,Yes
6500,Female,18,3,Yes
6501,Male,27,5,Yes
6502,Male,21,6,Yes
6503,Female,15,9,No
6504,Male,8,9,Yes
6505,Male,1,3,Yes
6506,Male,20,8,Yes
6507,Male,14,4,Yes
6508,Male,4,7,Yes
6509,Female,5,6,No
6510,Female,23,8,Yes
6511,Female,13,6,No
6512,Female,28,4,No
6513,Female,24,2,Yes
6514,Male,15,7,Yes
6515,Male,6,4,No
6516,Male,1,9,Yes
6517,Male,23,9,No
6518,Female,19,7,No
6519,Female,13,5,Yes
6520,Female,29,3,Yes
6521,Male,29,3,No
6522,Female,6,9,Yes
6523,Male,15,9,No
6524,Female,16,4,No
6525,Female,24,1,Yes
6526,Male,23,5,No
6527,Male,16,8,No
6528,Female,10,4,No
6529,Female,22,4,No
6530,Male,9,9,No
6531,Female,9,9,No
6532,Female,17,7,Yes
6533,Male,17,8,No
6534,Female,17,4,No
6535,Male,24,8,Yes
6536,Female,12,6,Yes
6537,Male,13,3,Yes
6538,Female,30,7,No
6539,Male,12,3,Yes
6540,Female,14,7,No
6541,Male,10,5,No
6542,Female,23,4,No
6543,Female,19,3,No
6544,Female,29,8,Yes
6545,Female,2,4,No
6546,Female,4,8,No
6547,Female,19,3,No
6548,Female,7,9,No
6549,Female,26,6,No
6550,Female,15,5,No
6551,Male,15,5,Yes
6552,Male,24,3,Yes
6553,Female,6,2,No
6554,Male,3,6,No
6555,Female,6,1,No
6556,Female,16,7,No
6557,Male,2,5,No
6558,Female,28,4,Yes
6559,Female,7,9,No
6560,Male,30,1,Yes
6561,Male,11,4,Yes
6562,Female,26,3,Yes
6563,Male,30,6,Yes
6564,Male,7,5,Yes
6565,Female,4,7,No
6566,Male,29,1,No
6567,Male,24,5,No
6568,Female,20,2,No
6569,Male,7,2,Yes
6570,Male,4,2,Yes
6571,Female,29,9,No
6572,Female,12,3,Yes
6573,Female,5,4,No
6574,Male,23,5,Yes
6575,Female,29,4,Yes
6576,Female,30,4,Yes
6577,Male,30,5,Yes
6578,Female,29,9,No
6579,Female,26,9,Yes
6580,Female,19,6,No
6581,Female,26,3,No
6582,Male,5,6,Yes
6583,Female,27,4,No
6584,Female,30,3,No
6585,Male,19,6,No
6586,Female,21,6,No
6587,Male,30,2,Yes
6588,Male,3,9,Yes
6589,Male,27,8,Yes
6590,Female,26,6,Yes
6591,Male,11,1,No
6592,Male,7,2,No
6593,Male,29,4,Yes
6594,Female,17,7,Yes
6595,Female,25,9,No
6596,Female,9,5,Yes
6597,Female,21,2,No
6598,Female,9,1,Yes
6599,Female,10,1,No
6600,Female,13,5,No
6601,Male,15,7,Yes
6602,Male,22,9,Yes
6603,Male,5,9,Yes
6604,Male,29,8,No
6605,Female,3,1,Yes
6606,Male,27,5,Yes
6607,Male,27,6,Yes
6608,Male,8,6,Yes
6609,Male,20,4,Yes
6610,Female,10,1,No
6611,Female,13,3,Yes
6612,Female,29,4,Yes
6613,Male,3,4,Yes
6614,Female,29,4,Yes
6615,Male,22,5,No
6616,Female,8,9,No
6617,Female,29,4,Yes
6618,Female,9,9,Yes
6619,Female,30,9,Yes
6620,Female,22,1,No
6621,Male,21,5,No
6622,Female,12,9,Yes
6623,Male,11,4,No
6624,Male,2,5,No
6625,Male,18,4,No
6626,Male,9,2,No
6627,Male,2,2,No
6628,Female,2,2,No
6629,Female,3,1,Yes
6630,Female,16,3,No
6631,Female,19,1,Yes
6632,Male,4,4,No
6633,Female,23,1,Yes
6634,Female,25,4,No
6635,Male,18,3,Yes
6636,Male,20,9,Yes
6637,Female,25,1,No
6638,Female,30,8,Yes
6639,Male,18,9,Yes
6640,Female,10,7,No
6641,Female,11,1,Yes
6642,Female,29,4,No
6643,Female,17,1,Yes
6644,Male,26,4,Yes
6645,Male,24,3,No
6646,Male,25,2,Yes
6647,Female,23,1,Yes
6648,Female,24,6,No
6649,Female,20,7,No
6650,Female,16,6,No
6651,Female,20,9,Yes
6652,Male,13,9,Yes
6653,Female,2,2,No
6654,Female,24,2,Yes
6655,Male,27,9,Yes
6656,Female,2,1,Yes
6657,Male,25,5,Yes
6658,Male,14,1,Yes
6659,Male,4,7,No
6660,Male,17,9,No
6661,Male,13,6,Yes
6662,Female,4,2,Yes
6663,Male,3,6,Yes
6664,Male,12,9,No
6665,Female,22,3,No
6666,Female,23,9,No
6667,Male,8,8,No
6668,Female,2,7,No
6669,Female,6,8,Yes
6670,Male,22,6,Yes
6671,Male,10,3,Yes
6672,Female,12,7,Yes
6673,Male,21,4,No
6674,Male,10,5,Yes
6675,Female,10,8,Yes
6676,Male,23,7,Yes
6677,Male,3,7,Yes
6678,Male,20,8,No
6679,Male,10,3,No
6680,Male,29,3,Yes
6681,Female,9,2,Yes
6682,Female,20,1,Yes
6683,Male,19,6,Yes
6684,Female,14,6,No
6685,Male,2,8,No
6686,Male,5,6,Yes
6687,Male,20,6,Yes
6688,Male,29,1,No
6689,Male,29,7,No
6690,Female,8,7,Yes
6691,Female,7,9,Yes
6692,Male,6,7,Yes
6693,Female,11,8,No
6694,Male,12,4,No
6695,Female,18,9,No
6696,Male,19,1,No
6697,Female,10,8,No
6698,Male,25,3,Yes
6699,Male,29,1,Yes
6700,Female,25,2,Yes
6701,Female,21,6,Yes
6702,Male,14,5,No
6703,Female,3,3,Yes
6704,Male,18,9,No
6705,Female,24,8,No
6706,Female,15,3,Yes
6707,Male,6,2,Yes
6708,Female,10,8,Yes
6709,Female,27,5,Yes
6710,Male,12,9,Yes
6711,Female,7,1,Yes
6712,Male,17,3,No
6713,Male,1,5,No
6714,Male,26,2,No
6715,Male,18,3,Yes
6716,Male,26,4,No
6717,Female,15,4,Yes
6718,Male,19,9,Yes
6719,Male,28,1,No
6720,Female,1,9,No
6721,Female,30,9,Yes
6722,Female,5,6,Yes
6723,Male,15,1,No
6724,Male,3,6,No
6725,Male,1,8,No
6726,Female,8,5,No
6727,Male,12,5,No
6728,Female,27,1,No
6729,Male,22,1,Yes
6730,Female,25,8,No
6731,Male,19,5,Yes
6732,Male,25,8,Yes
6733,Male,25,2,No
6734,Female,12,4,No
6735,Female,13,9,No
6736,Male,28,3,Yes
6737,Male,1,6,Yes
6738,Male,19,7,No
6739,Female,6,3,No
6740,Male,8,1,Yes
6741,Male,4,2,Yes
6742,Male,5,7,No
6743,Male,25,7,No
6744,Female,22,1,No
6745,Female,28,7,Yes
6746,Male,7,6,Yes
6747,Male,23,6,No
6748,Female,4,7,No
6749,Female,20,7,No
6750,Male,4,1,Yes
6751,Female,30,5,Yes
6752,Female,15,8,Yes
6753,Male,27,8,No
6754,Female,21,3,No
6755,Female,5,3,No
6756,Male,24,7,Yes
6757,Male,9,4,Yes
6758,Female,2,6,Yes
6759,Male,27,9,No
6760,Female,7,2,No
6761,Male,17,2,Yes
6762,Female,16,6,No
6763,Male,17,3,No
6764,Female,20,1,Yes
6765,Female,26,2,Yes
6766,Female,23,7,Yes
6767,Male,2,4,Yes
6768,Male,11,2,Yes
6769,Female,2,8,No
6770,Female,1,4,Yes
6771,Male,26,4,No
6772,Male,2,2,No
6773,Male,29,1,Yes
6774,Male,23,1,Yes
6775,Male,9,3,No
6776,Male,22,6,No
6777,Female,26,7,No
6778,Male,2,9,Yes
6779,Female,28,5,No
6780,Male,15,9,Yes
6781,Male,10,8,Yes
6782,Female,15,1,No
6783,Female,10,3,Yes
6784,Male,29,8,No
6785,Female,25,9,No
6786,Female,23,4,Yes
6787,Female,27,6,Yes
6788,Female,17,4,No
6789,Male,28,9,Yes
6790,Female,9,2,Yes
6791,Male,18,6,No
6792,Male,4,3,Yes
6793,Male,9,4,No
6794,Male,16,2,No
6795,Female,4,8,Yes
6796,Female,16,8,No
6797,Male,19,1,Yes
6798,Male,1,6,No
6799,Male,23,1,Yes
6800,Male,6,6,No
6801,Female,10,7,No
6802,Male,16,2,Yes
6803,Female,4,9,Yes
6804,Male,22,8,Yes
6805,Male,22,9,Yes
6806,Male,13,4,Yes
6807,Male,16,4,Yes
6808,Female,20,8,Yes
6809,Female,30,1,Yes
6810,Female,29,8,Yes
6811,Male,6,7,No
6812,Male,26,7,Yes
6813,Female,11,9,No
6814,Female,24,7,Yes
6815,Male,29,2,Yes
6816,Male,3,1,No
6817,Female,20,1,No
6818,Male,10,7,Yes
6819,Male,29,5,No
6820,Female,28,4,Yes
6821,Male,30,5,No
6822,Female,1,6,Yes
6823,Male,20,6,No
6824,Female,11,1,Yes
6825,Male,26,2,No
6826,Female,26,3,Yes
6827,Female,12,4,No
6828,Female,14,6,Yes
6829,Female,25,9,Yes
6830,Male,8,2,Yes
6831,Male,11,8,No
6832,Female,4,9,No
6833,Male,28,2,No
6834,Male,7,9,No
6835,Male,10,7,No
6836,Male,19,9,Yes
6837,Male,25,6,No
6838,Female,26,2,Yes
6839,Female,4,8,Yes
6840,Female,2,9,Yes
6841,Female,26,8,Yes
6842,Male,21,2,Yes
6843,Male,18,8,No
6844,Female,14,3,Yes
6845,Male,26,3,No
6846,Male,16,9,Yes
6847,Female,22,9,Yes
6848,Male,11,9,No
6849,Female,10,4,No
6850,Female,17,7,Yes
6851,Male,14,8,Yes
6852,Male,22,5,Yes
6853,Female,4,1,No
6854,Female,19,9,No
6855,Male,2,6,Yes
6856,Female,7,3,No
6857,Female,9,3,No
6858,Female,28,1,No
6859,Male,19,8,No
6860,Female,16,2,No
6861,Male,22,1,No
6862,Female,25,7,No
6863,Male,16,9,Yes
6864,Female,18,6,No
6865,Male,23,8,No
6866,Male,21,8,Yes
6867,Male,21,9,No
6868,Female,11,7,No
6869,Female,7,9,No
6870,Female,9,9,No
6871,Male,4,1,Yes
6872,Female,25,6,No
6873,Male,30,8,Yes
6874,Female,13,9,No
6875,Male,27,4,No
6876,Male,26,2,No
6877,Male,25,9,No
6878,Female,29,9,Yes
6879,Female,4,8,Yes
6880,Female,19,3,Yes
6881,Male,2,5,Yes
6882,Male,9,2,Yes
6883,Female,12,3,No
6884,Female,2,1,Yes
6885,Female,6,4,Yes
6886,Male,5,5,No
6887,Male,30,2,Yes
6888,Male,5,3,No
6889,Male,20,6,Yes
6890,Male,22,6,No
6891,Female,5,7,Yes
6892,Male,27,9,No
6893,Male,4,4,Yes
6894,Male,29,5,Yes
6895,Male,9,2,No
6896,Male,29,6,No
6897,Female,22,4,No
6898,Male,27,5,Yes
6899,Male,10,7,No
6900,Male,16,6,Yes
6901,Female,10,8,No
6902,Female,29,6,Yes
6903,Female,10,8,No
6904,Male,29,4,No
6905,Female,19,7,Yes
6906,Male,10,3,No
6907,Male,6,1,No
6908,Female,30,9,No
6909,Male,17,9,Yes
6910,Male,5,6,Yes
6911,Male,26,2,No
6912,Female,6,8,No
6913,Male,27,6,Yes
6914,Male,24,7,Yes
6915,Female,27,1,No
6916,Male,15,3,Yes
6917,Male,25,1,No
6918,Female,27,1,No
6919,Male,19,1,Yes
6920,Male,18,4,Yes
6921,Male,29,7,Yes
6922,Male,4,7,Yes
6923,Male,8,5,Yes
6924,Female,27,6,Yes
6925,Female,16,2,Yes
6926,Female,24,5,Yes
6927,Female,19,7,No
6928,Male,20,9,No
6929,Male,3,6,Yes
6930,Male,10,4,No
6931,Male,2,3,No
6932,Male,4,9,No
6933,Female,6,7,No
6934,Female,11,6,No
6935,Male,14,7,Yes
6936,Male,16,8,Yes
6937,Male,27,5,Yes
6938,Female,21,3,Yes
6939,Male,19,3,Yes
6940,Male,2,2,Yes
6941,Male,25,8,No
6942,Female,17,1,Yes
6943,Male,9,8,No
6944,Female,17,3,Yes
6945,Female,15,9,No
6946,Female,30,2,No
6947,Female,7,9,Yes
6948,Female,22,6,Yes
6949,Female,23,1,Yes
6950,Male,19,5,Yes
6951,Male,30,9,No
6952,Male,3,6,Yes
6953,Female,29,7,Yes
6954,Male,27,4,No
6955,Female,1,1,No
6956,Female,4,5,Yes
6957,Female,28,2,Yes
6958,Male,18,8,No
6959,Female,26,4,Yes
6960,Female,8,1,No
6961,Male,19,7,No
6962,Male,23,2,Yes
6963,Female,23,3,No
6964,Female,28,9,Yes
6965,Male,25,9,Yes
6966,Male,6,2,Yes
6967,Male,1,3,No
6968,Female,8,9,Yes
6969,Male,1,1,Yes
6970,Male,19,2,No
6971,Male,11,2,Yes
6972,Female,21,3,Yes
6973,Male,24,3,Yes
6974,Male,25,2,No
6975,Male,15,8,No
6976,Male,23,8,Yes
6977,Male,25,8,Yes
6978,Female,11,2,Yes
